timestamp_sec,x,y
0.0,-0.7755133421645269,1.0660707986658222
0.18728995323181152,-0.7728592812523867,1.0630224848082064
0.3748137950897217,-0.7708661885655222,1.0601273185931432
0.6551463603973389,-0.7684484530884154,1.056481599410385
0.8436646461486816,-0.7675132024257164,1.0541711427104095
1.0310118198394775,-0.7671326862623832,1.0534485303055143
1.2186481952667236,-0.7681900785249793,1.0552515948273773
1.4060215950012207,-0.7674739339343363,1.055251102275844
1.593571662902832,-0.7663795088179202,1.0553329642047087
1.7810187339782715,-0.7646745507160683,1.0547261083388195
2.06144642829895,-0.7596226469026671,1.0532672336647102
2.249802350997925,-0.7571675213021662,1.0521134890405774
2.4376564025878906,-0.7546153557887239,1.0505627396209296
2.6248373985290527,-0.7528247895266769,1.0482104577948859
2.8124146461486816,-0.7501867270244598,1.0462608883512525
2.9999465942382812,-0.7485190996615317,1.0435286923508746
3.1876707077026367,-0.7449862518589322,1.0438769528563219
3.467686891555786,-0.7393173409247493,1.050469435445674
3.6560757160186768,-0.736593516471968,1.0473119535901039
3.843662738800049,-0.7353212502045071,1.0489490794001317
4.031139850616455,-0.7331571906334918,1.04781943862121
4.218559741973877,-0.7315582705542941,1.0489515237141787
4.406192064285278,-0.7310248021137167,1.0488905929137229
4.593591213226318,-0.7310423742444808,1.0495440129438292
4.8739447593688965,-0.7295856888649026,1.0502731909903689
5.062324523925781,-0.7287155008356686,1.0512138062660694
5.2499284744262695,-0.7287192719760771,1.0517141825209353
5.437356472015381,-0.7286488459113114,1.0518596959057285
5.624881744384766,-0.7284380786746253,1.0513186446585596
5.812374114990234,-0.725747565219832,1.0497233148109808
5.999820232391357,-0.7234289514850477,1.049045678585696
6.280123710632324,-0.7206228270718612,1.045342725537257
6.468936204910278,-0.7195117405493298,1.0440687133567765
6.656147480010986,-0.7196377660706533,1.0421393008883573
6.8437111377716064,-0.7192451129848074,1.0404642114460845
7.031219005584717,-0.7186252248273234,1.0409710721012542
7.218590021133423,-0.7176034287459283,1.0413443881271527
7.406161308288574,-0.7182475010275484,1.0414098689896694
7.686511993408203,-0.7172507263654546,1.039570031268505
7.874851703643799,-0.7175048886180305,1.0395315204361166
8.062549591064453,-0.7174565906423324,1.0400669374317721
8.249896764755249,-0.7188902073880494,1.0387398018051595
